,note1,note2,decimalDaytime,mag,band,blank,observatory
0,,C,2017 10 14.43936,19.0,G,UEU185,703
1,,C,2017 10 17.37391,19.5,G,UEU185,703
2,,C,2017 10 18.47298,19.8,w,LEU183,F51
3,,C,2017 10 18.49990,,,LEU183,F51
4,,C,2017 10 19.39715,19.9,w,LEU183,F51
5,,C,2017 10 19.40837,19.9,w,LEU183,F51
6,,C,2017 10 19.41968,20.1,w,LEU183,F51
7,,C,2017 10 19.43106,20.1,w,LEU183,F51
8,K,C,2017 10 19.86072,19.6,R,UEU183,104
9,F,C,2017 10 19.86325,,,qEU265,246
10,F,C,2017 10 19.86350,,,qEU265,246
11,F,C,2017 10 19.86425,,,qEU265,246
12,K,C,2017 10 19.86492,19.8,R,UEU183,104
13,K,C,2017 10 19.86905,20.3,R,UEU183,104
14,K,C,2017 10 19.94093,20.3,G,UEU183,J04
15,K,C,2017 10 19.94390,20.1,G,UEU183,J04
16,,C,2017 10 20.17250,19.9,G,UEU183,I52
17,,C,2017 10 20.17348,20.2,G,UEU183,I52
18,,C,2017 10 20.17448,20.2,G,UEU183,I52
19,,C,2017 10 20.17546,20.6,G,UEU183,I52
20,K,C,2017 10 21.22371,20.2,R,oEU183,291
21,K,C,2017 10 21.22623,19.5,R,oEU183,291
22,K,C,2017 10 21.22877,19.6,R,oEU183,291
23,,C,2017 10 21.37476,20.4,R,oEU183,926
24,,C,2017 10 21.37804,20.1,R,oEU183,926
25,,C,2017 10 21.38132,20.4,R,oEU183,926
26,|,C,2017 10 22.29708,,,vEU183,H06
27,|,C,2017 10 22.30118,,,vEU183,H06
28,|,C,2017 10 22.30512,20.7,w,vEU183,H06
29,1,C,2017 10 22.46548,,,EU183,Q62
30,1,C,2017 10 22.47027,,,EU183,Q62
31,1,C,2017 10 22.47506,19.9,w,EU183,Q62
32,K,C,2017 10 23.18830,20.4,R,qEU183,734
33,K,C,2017 10 23.19547,20.1,R,qEU183,734
34,K,C,2017 10 23.20264,20.4,R,qEU183,734
35,,C,2017 10 24.23395,20.9,G,UEU183,G96
36,,C,2017 10 24.23917,,,UEU183,G96
37,,C,2017 10 24.24438,21.0,G,UEU183,G96
38,,C,2017 10 24.24957,20.7,G,UEU183,G96
39,K,C,2017 10 25.23207,20.8,R,UEU185,V03
40,K,C,2017 10 25.24467,,,UEU185,V03
41,K,C,2017 10 25.87692,21.1,R,UEU185,104
42,K,C,2017 10 25.89734,21.6,R,UEU185,104
43,K,C,2017 10 25.90408,21.4,R,UEU185,104
44,=,C,2017 10 26.09116,,,UEU265,675
45,=,C,2017 10 26.09283,,,UEU265,675
46,=,C,2017 10 26.09669,,,UEU265,675
47,=,C,2017 10 26.09834,,,UEU265,675
48,,C,2017 10 26.24599,21.8,G,UEU234,V06
49,,C,2017 10 26.24854,22.7,G,UEU234,V06
50,,C,2017 10 26.25110,22.8,G,UEU234,V06
51,,C,2017 10 26.25365,22.1,G,UEU234,V06
52,,C,2017 10 26.28697,20.0,R,oEU234,291
53,,C,2017 10 26.29059,,,oEU234,291
54,,C,2017 10 26.29419,,,oEU234,291
55,K,C,2017 10 26.29574,22.1,R,qEU234,926
56,K,C,2017 10 26.29945,21.9,R,qEU234,926
57,K,C,2017 10 26.30038,22.3,R,qEU234,926
58,,C,2017 10 26.30912,20.7,R,oEU234,926
59,K,C,2017 10 26.30968,22.2,R,qEU234,926
60,,C,2017 10 26.31285,21.4,R,oEU234,926
61,,C,2017 10 26.31656,21.7,R,oEU234,926
62,H,C,2017 10 26.82093,,,UEU263,204
63,K,C,2017 10 26.83310,21.4,G,UEU263,204
64,H,C,2017 10 26.84527,,,UEU263,204
65,K,C,2017 10 26.89290,22.8,G,UEU234,K93
66,K,C,2017 10 26.89578,22.2,G,UEU234,K93
67,K,C,2017 10 26.89674,21.7,G,UEU234,K93
68,K,C,2017 10 26.89962,22.2,G,UEU234,K93
69,K,C,2017 10 27.13044,22.2,R,uEU263,850
70,K,C,2017 10 27.14702,21.8,R,uEU263,850
71,K,C,2017 10 27.16382,22.0,R,uEU263,850
72,K,C,2017 10 27.21629,21.6,R,uEU263,850
73,K,C,2017 10 27.24829,21.5,R,uEU263,850
74,,C,2017 10 27.28540,21.0,R,oEU263,926
