JD,magDelta,error
2457432.88848,0.07,0.07
2457432.89676,-0.06,0.14
2457432.90608,-0.06,0.04
2457432.91436,-0.14,0.03
2457432.92265,-0.20,0.03
2457432.92979,-0.24,0.03
2457432.93689,-0.28,0.03
2457432.94402,-0.30,0.03
2457432.95111,-0.36,0.03
2457432.95824,-0.35,0.03
2457432.96535,-0.35,0.03
2457432.97247,-0.38,0.03
2457432.97957,-0.37,0.04
2457432.98669,-0.32,0.04
2457432.99382,-0.30,0.05
2457433.00095,-0.22,0.04
2457433.00922,-0.19,0.04
2457433.01751,-0.14,0.04
2457433.02579,-0.11,0.04
2457433.03407,-0.09,0.05
2457433.04235,-0.05,0.05
2457484.73942,-0.02,0.11
2457484.74778,0.01,0.16
2457484.75619,0.14,0.16
2457484.76586,0.30,0.13
2457484.77536,0.33,0.13
2457484.78552,0.34,0.10
2457484.79505,0.34,0.10
2457484.80463,0.43,0.12
2457484.81407,0.28,0.17
2457484.82355,0.13,0.19
2457484.83300,0.04,0.13
2457484.84244,-0.01,0.08
2457484.85189,-0.11,0.05
2457484.86134,-0.22,0.05
2457484.87078,-0.23,0.07
2457484.88023,-0.22,0.06
2457484.88968,-0.39,0.05
2457484.89912,-0.35,0.08
2457484.90858,-0.39,0.09
2457521.67318,0.23,0.04
2457521.68144,0.19,0.04
2457521.68972,0.08,0.04
2457521.69799,0.02,0.03
2457521.70626,-0.03,0.03
2457521.71453,-0.13,0.03
2457521.72279,-0.15,0.03
2457521.73104,-0.25,0.03
2457521.73931,-0.24,0.03
2457521.74772,-0.30,0.03
2457521.75598,-0.29,0.03
2457521.76425,-0.27,0.03
2457521.77250,-0.30,0.03
2457521.78076,-0.28,0.03
2457521.78911,-0.31,0.03
2457521.79737,-0.29,0.03
2457822.85438,-0.17,0.06
2457822.86735,-0.15,0.07
2457822.88009,-0.07,0.06
2457822.89282,0.20,0.09
2457822.90551,0.27,0.09
2457822.91818,0.37,0.09
2457822.93084,0.38,0.11
2457822.94353,0.38,0.13
2457822.95619,0.15,0.10
2457822.96892,-0.01,0.11
2457822.98330,-0.11,0.12
2457822.99580,-0.20,0.08
2457830.81664,0.20,0.05
2457830.82097,0.30,0.05
2457830.83066,0.40,0.05
2457830.83544,0.39,0.05
2457830.84025,0.32,0.06
2457830.84503,0.29,0.05
2457830.85821,0.22,0.05
2457830.86299,0.09,0.05
2457830.86780,0.09,0.05
2457830.87258,0.01,0.04
2457830.87740,-0.05,0.04
2457830.88218,-0.06,0.04
2457830.88699,-0.13,0.05
2457830.89178,-0.13,0.04
2457830.89659,-0.13,0.04
2457830.89659,-0.16,0.04
2457830.90138,-0.18,0.04
2457830.90619,-0.20,0.04
2457830.91097,-0.22,0.04
2457830.91579,-0.27,0.04
2457830.92057,-0.31,0.04
2457830.92538,-0.29,0.04
2457830.93017,-0.30,0.05
2457830.93498,-0.33,0.07
2457830.93977,-0.33,0.07
2457830.94457,-0.32,0.04
2457830.94939,-0.33,0.03
2457830.95420,-0.34,0.04
2457830.95900,-0.30,0.05
2457830.96380,-0.31,0.06
2457830.96861,-0.32,0.07
2457830.97339,-0.31,0.07
2457830.97821,-0.34,0.08
2457830.98299,-0.30,0.08
2457831.71589,-0.22,0.03
2457831.74388,-0.16,0.04
2457831.91506,-0.21,0.04
2457832.90838,-0.23,0.03
2457832.91319,-0.28,0.04
